name,description,learning_outcomes,department,semester,credits
Conservative Dentistry and Endodontics,"Study of preservation of natural teeth through diagnosis and treatment of diseases and injuries of the dental pulp and periradicular tissues. Includes root canal therapy, dental trauma management, and restorative procedures for underserved populations.","Diagnose pulp diseases; Perform root canal treatment; Restore damaged teeth; Manage dental emergencies in rural communities",Dental Sciences,5,4
Pharmaceutical Chemistry,"Analysis and synthesis of drug molecules with emphasis on green chemistry principles, sustainable manufacturing processes, and reduction of pharmaceutical waste. Covers drug design, structure-activity relationships, and environmentally responsible synthesis methods.","Synthesize drug compounds using green chemistry; Analyze drug purity; Apply sustainable manufacturing principles; Evaluate environmental impact of pharmaceutical processes",Pharmacy,3,4
Community Health Nursing,"Comprehensive study of community-based healthcare delivery focusing on maternal and child health, nutrition, sanitation, communicable disease prevention, and health education for rural and tribal populations in Tamil Nadu.","Plan community health interventions; Conduct health education programs; Assess maternal-child health needs; Implement disease prevention strategies in underserved areas",Nursing,4,5
Environmental Engineering,"Study of water treatment systems, air pollution control, solid waste management, and environmental impact assessment. Emphasizes sustainable infrastructure design and clean technology implementation for small and medium enterprises.","Design water treatment plants; Conduct environmental impact assessments; Plan solid waste management systems; Apply clean technology solutions",Engineering,6,3
Data Science and Machine Learning,"Application of statistical methods, machine learning algorithms, and AI techniques to solve real-world problems. Includes predictive analytics for healthcare, agriculture yield optimization, and smart city applications.","Build machine learning models; Apply statistical analysis; Develop predictive healthcare solutions; Process and analyze large datasets",Engineering,7,4
Pharmacognosy and Phytochemistry,"Study of natural drug sources including medicinal plants, marine organisms, and traditional medicine systems. Emphasis on ethnobotany, sustainable harvesting of medicinal plants, and integration of traditional knowledge with modern pharmacology.","Identify medicinal plant species; Extract bioactive compounds; Document traditional medicine knowledge; Apply sustainable harvesting practices",Pharmacy,4,4
Medical Surgical Nursing,"Advanced nursing care for patients with complex medical and surgical conditions. Includes evidence-based practice, patient safety protocols, infection control, and quality improvement in healthcare delivery.","Provide advanced patient care; Apply evidence-based nursing protocols; Manage post-surgical complications; Implement infection control measures",Nursing,5,5
Renewable Energy Systems,"Design and analysis of solar photovoltaic systems, wind energy, biomass energy, and hybrid renewable energy systems. Focuses on off-grid solutions for rural electrification and energy access in developing regions.","Design solar PV systems; Analyze wind energy potential; Plan rural electrification projects; Evaluate hybrid energy system feasibility",Engineering,7,3
Prosthodontics and Crown and Bridge,"Restoration and replacement of missing teeth and oral structures through fixed and removable prostheses. Includes digital dentistry techniques, CAD-CAM technology, and affordable prosthetic solutions for economically disadvantaged patients.","Fabricate dental prostheses; Apply digital dentistry workflows; Plan full-mouth rehabilitation; Design affordable prosthetic solutions",Dental Sciences,6,4
Food Science and Nutrition,"Study of food composition, processing, preservation, and nutritional value. Emphasis on addressing malnutrition, developing fortified foods for vulnerable populations, and ensuring food safety and quality standards.","Analyze food composition; Develop fortified food products; Plan nutrition intervention programs; Apply food safety standards",Allied Health Sciences,3,3
